date,product,unit_type,unit_measure,consumed,restocked,stock_balance,lead_time_days
2025-01-02,Steel Tubing,weight,kg,107.1,0.0,2892.9,14
2025-01-03,Steel Tubing,weight,kg,97.41,0.0,2795.49,14
2025-01-04,Steel Tubing,weight,kg,42.03,0.0,2753.46,14
2025-01-06,Steel Tubing,weight,kg,103.25,0.0,2650.21,14
2025-01-07,Steel Tubing,weight,kg,98.39,0.0,2551.82,14
2025-01-08,Steel Tubing,weight,kg,102.59,0.0,2449.23,14
2025-01-09,Steel Tubing,weight,kg,70.94,0.0,2378.29,14
2025-01-10,Steel Tubing,weight,kg,74.95,0.0,2303.34,14
2025-01-11,Steel Tubing,weight,kg,50.43,0.0,2252.91,14
2025-01-13,Steel Tubing,weight,kg,88.39,0.0,2164.52,14
2025-01-14,Steel Tubing,weight,kg,103.55,0.0,2060.97,14
2025-01-15,Steel Tubing,weight,kg,118.4,0.0,1942.57,14
2025-01-16,Steel Tubing,weight,kg,77.46,0.0,1865.11,14
2025-01-17,Steel Tubing,weight,kg,84.05,0.0,1781.06,14
2025-01-18,Steel Tubing,weight,kg,54.32,0.0,1726.74,14
2025-01-20,Steel Tubing,weight,kg,106.96,0.0,1619.78,14
2025-01-21,Steel Tubing,weight,kg,88.14,0.0,1531.64,14
2025-01-22,Steel Tubing,weight,kg,97.04,0.0,1434.6,14
2025-01-23,Steel Tubing,weight,kg,101.52,0.0,1333.08,14
2025-01-24,Steel Tubing,weight,kg,83.05,0.0,1250.03,14
2025-01-25,Steel Tubing,weight,kg,48.37,0.0,1201.66,14
2025-01-27,Steel Tubing,weight,kg,100.42,0.0,1101.24,14
2025-01-28,Steel Tubing,weight,kg,79.0,0.0,1022.24,14
2025-01-29,Steel Tubing,weight,kg,74.75,0.0,947.49,14
2025-01-30,Steel Tubing,weight,kg,94.46,0.0,853.03,14
2025-01-31,Steel Tubing,weight,kg,85.86,0.0,767.17,14
2025-02-01,Steel Tubing,weight,kg,44.31,0.0,722.86,14
2025-02-03,Steel Tubing,weight,kg,73.51,0.0,649.35,14
2025-02-04,Steel Tubing,weight,kg,88.55,1656.95,2217.75,14
2025-02-05,Steel Tubing,weight,kg,92.75,0.0,2125.0,14
2025-02-06,Steel Tubing,weight,kg,102.31,0.0,2022.69,14
2025-02-07,Steel Tubing,weight,kg,102.65,0.0,1920.04,14
2025-02-08,Steel Tubing,weight,kg,39.97,0.0,1880.07,14
2025-02-10,Steel Tubing,weight,kg,93.93,0.0,1786.14,14
2025-02-11,Steel Tubing,weight,kg,83.33,0.0,1702.81,14
2025-02-12,Steel Tubing,weight,kg,93.55,0.0,1609.26,14
2025-02-13,Steel Tubing,weight,kg,100.63,0.0,1508.63,14
2025-02-14,Steel Tubing,weight,kg,95.17,0.0,1413.46,14
2025-02-15,Steel Tubing,weight,kg,42.87,0.0,1370.59,14
2025-02-17,Steel Tubing,weight,kg,101.31,0.0,1269.28,14
2025-02-18,Steel Tubing,weight,kg,96.98,0.0,1172.3,14
2025-02-19,Steel Tubing,weight,kg,84.36,0.0,1087.94,14
2025-02-20,Steel Tubing,weight,kg,95.25,0.0,992.69,14
2025-02-21,Steel Tubing,weight,kg,87.84,0.0,904.85,14
2025-02-22,Steel Tubing,weight,kg,46.28,0.0,858.57,14
2025-02-24,Steel Tubing,weight,kg,86.48,0.0,772.09,14
2025-02-25,Steel Tubing,weight,kg,107.9,0.0,664.19,14
2025-02-26,Steel Tubing,weight,kg,95.09,0.0,569.1,14
2025-02-27,Steel Tubing,weight,kg,79.81,1656.95,2146.24,14
2025-02-28,Steel Tubing,weight,kg,80.28,0.0,2065.96,14
2025-03-01,Steel Tubing,weight,kg,38.98,0.0,2026.98,14
2025-03-03,Steel Tubing,weight,kg,87.6,0.0,1939.38,14
2025-03-04,Steel Tubing,weight,kg,103.01,0.0,1836.37,14
2025-03-05,Steel Tubing,weight,kg,102.4,0.0,1733.97,14
2025-03-06,Steel Tubing,weight,kg,87.71,0.0,1646.26,14
2025-03-07,Steel Tubing,weight,kg,99.99,0.0,1546.27,14
2025-03-08,Steel Tubing,weight,kg,46.11,0.0,1500.16,14
2025-03-10,Steel Tubing,weight,kg,86.22,0.0,1413.94,14
2025-03-11,Steel Tubing,weight,kg,108.99,0.0,1304.95,14
2025-03-12,Steel Tubing,weight,kg,79.18,0.0,1225.77,14
2025-03-13,Steel Tubing,weight,kg,109.38,0.0,1116.39,14
2025-03-14,Steel Tubing,weight,kg,82.62,0.0,1033.77,14
2025-03-15,Steel Tubing,weight,kg,48.91,0.0,984.86,14
2025-03-17,Steel Tubing,weight,kg,71.17,0.0,913.69,14
2025-03-18,Steel Tubing,weight,kg,82.78,0.0,830.91,14
2025-03-19,Steel Tubing,weight,kg,96.06,0.0,734.85,14
2025-03-20,Steel Tubing,weight,kg,65.02,0.0,669.83,14
2025-03-21,Steel Tubing,weight,kg,98.3,0.0,571.53,14
2025-03-22,Steel Tubing,weight,kg,44.47,1656.95,2184.01,14
2025-03-24,Steel Tubing,weight,kg,98.72,0.0,2085.29,14
2025-03-25,Steel Tubing,weight,kg,73.1,0.0,2012.19,14
2025-03-26,Steel Tubing,weight,kg,91.55,0.0,1920.64,14
2025-03-27,Steel Tubing,weight,kg,85.06,0.0,1835.58,14
2025-03-28,Steel Tubing,weight,kg,87.95,0.0,1747.63,14
2025-03-29,Steel Tubing,weight,kg,36.73,0.0,1710.9,14
2025-03-31,Steel Tubing,weight,kg,101.64,0.0,1609.26,14
2025-04-01,Steel Tubing,weight,kg,90.78,0.0,1518.48,14
2025-04-02,Steel Tubing,weight,kg,73.09,0.0,1445.39,14
2025-04-03,Steel Tubing,weight,kg,81.81,0.0,1363.58,14
2025-04-04,Steel Tubing,weight,kg,90.13,0.0,1273.45,14
2025-04-05,Steel Tubing,weight,kg,48.41,0.0,1225.04,14
2025-04-07,Steel Tubing,weight,kg,77.76,0.0,1147.28,14
2025-04-08,Steel Tubing,weight,kg,84.76,0.0,1062.52,14
2025-04-09,Steel Tubing,weight,kg,93.2,0.0,969.32,14
2025-04-10,Steel Tubing,weight,kg,74.39,0.0,894.93,14
2025-04-11,Steel Tubing,weight,kg,91.47,0.0,803.46,14
2025-04-12,Steel Tubing,weight,kg,47.88,0.0,755.58,14
2025-04-14,Steel Tubing,weight,kg,80.4,0.0,675.18,14
2025-04-15,Steel Tubing,weight,kg,73.82,0.0,601.36,14
2025-04-16,Steel Tubing,weight,kg,89.2,1656.95,2169.11,14
2025-04-17,Steel Tubing,weight,kg,80.86,0.0,2088.25,14
2025-04-18,Steel Tubing,weight,kg,108.87,0.0,1979.38,14
2025-04-19,Steel Tubing,weight,kg,39.4,0.0,1939.98,14
2025-04-21,Steel Tubing,weight,kg,87.3,0.0,1852.68,14
2025-04-22,Steel Tubing,weight,kg,97.0,0.0,1755.68,14
2025-04-23,Steel Tubing,weight,kg,84.73,0.0,1670.95,14
2025-04-24,Steel Tubing,weight,kg,68.31,0.0,1602.64,14
2025-04-25,Steel Tubing,weight,kg,72.0,0.0,1530.64,14
2025-04-26,Steel Tubing,weight,kg,35.41,0.0,1495.23,14
2025-04-28,Steel Tubing,weight,kg,80.42,0.0,1414.81,14
2025-04-29,Steel Tubing,weight,kg,81.72,0.0,1333.09,14
2025-04-30,Steel Tubing,weight,kg,76.43,0.0,1256.66,14
2025-05-02,Steel Tubing,weight,kg,81.66,0.0,1175.0,14
2025-05-03,Steel Tubing,weight,kg,43.84,0.0,1131.16,14
2025-05-05,Steel Tubing,weight,kg,69.78,0.0,1061.38,14
2025-05-06,Steel Tubing,weight,kg,86.38,0.0,975.0,14
2025-05-07,Steel Tubing,weight,kg,69.06,0.0,905.94,14
2025-05-08,Steel Tubing,weight,kg,71.29,0.0,834.65,14
2025-05-09,Steel Tubing,weight,kg,84.01,0.0,750.64,14
2025-05-10,Steel Tubing,weight,kg,38.52,0.0,712.12,14
2025-05-12,Steel Tubing,weight,kg,76.69,0.0,635.43,14
2025-05-13,Steel Tubing,weight,kg,71.29,1656.95,2221.09,14
2025-05-14,Steel Tubing,weight,kg,82.38,0.0,2138.71,14
2025-05-15,Steel Tubing,weight,kg,76.53,0.0,2062.18,14
2025-05-16,Steel Tubing,weight,kg,82.67,0.0,1979.51,14
2025-05-17,Steel Tubing,weight,kg,40.03,0.0,1939.48,14
2025-05-19,Steel Tubing,weight,kg,73.66,0.0,1865.82,14
2025-05-20,Steel Tubing,weight,kg,76.68,0.0,1789.14,14
2025-05-21,Steel Tubing,weight,kg,72.83,0.0,1716.31,14
2025-05-22,Steel Tubing,weight,kg,77.86,0.0,1638.45,14
2025-05-23,Steel Tubing,weight,kg,73.16,0.0,1565.29,14
2025-05-24,Steel Tubing,weight,kg,48.89,0.0,1516.4,14
2025-05-26,Steel Tubing,weight,kg,89.49,0.0,1426.91,14
2025-05-27,Steel Tubing,weight,kg,77.24,0.0,1349.67,14
2025-05-28,Steel Tubing,weight,kg,67.66,0.0,1282.01,14
2025-05-29,Steel Tubing,weight,kg,66.01,0.0,1216.0,14
2025-05-30,Steel Tubing,weight,kg,73.74,0.0,1142.26,14
2025-05-31,Steel Tubing,weight,kg,44.47,0.0,1097.79,14
2025-06-02,Steel Tubing,weight,kg,72.09,0.0,1025.7,14
2025-06-03,Steel Tubing,weight,kg,70.87,0.0,954.83,14
2025-06-04,Steel Tubing,weight,kg,84.73,0.0,870.1,14
2025-06-05,Steel Tubing,weight,kg,57.37,0.0,812.73,14
2025-06-06,Steel Tubing,weight,kg,61.45,0.0,751.28,14
2025-06-07,Steel Tubing,weight,kg,33.41,0.0,717.87,14
2025-06-09,Steel Tubing,weight,kg,54.24,0.0,663.63,14
2025-06-10,Steel Tubing,weight,kg,82.21,0.0,581.42,14
2025-06-11,Steel Tubing,weight,kg,77.54,1656.95,2160.83,14
2025-06-12,Steel Tubing,weight,kg,69.18,0.0,2091.65,14
2025-06-13,Steel Tubing,weight,kg,78.53,0.0,2013.12,14
2025-06-14,Steel Tubing,weight,kg,34.08,0.0,1979.04,14
2025-06-16,Steel Tubing,weight,kg,81.69,0.0,1897.35,14
2025-06-17,Steel Tubing,weight,kg,73.62,0.0,1823.73,14
2025-06-18,Steel Tubing,weight,kg,77.06,0.0,1746.67,14
2025-06-19,Steel Tubing,weight,kg,95.12,0.0,1651.55,14
2025-06-20,Steel Tubing,weight,kg,57.81,0.0,1593.74,14
2025-06-21,Steel Tubing,weight,kg,35.58,0.0,1558.16,14
2025-06-23,Steel Tubing,weight,kg,76.97,0.0,1481.19,14
2025-06-24,Steel Tubing,weight,kg,79.39,0.0,1401.8,14
2025-06-25,Steel Tubing,weight,kg,78.97,0.0,1322.83,14
2025-06-26,Steel Tubing,weight,kg,70.82,0.0,1252.01,14
2025-06-27,Steel Tubing,weight,kg,85.57,0.0,1166.44,14
2025-06-28,Steel Tubing,weight,kg,39.15,0.0,1127.29,14
2025-06-30,Steel Tubing,weight,kg,79.24,0.0,1048.05,14
2025-07-01,Steel Tubing,weight,kg,67.3,0.0,980.75,14
2025-07-02,Steel Tubing,weight,kg,73.91,0.0,906.84,14
2025-07-03,Steel Tubing,weight,kg,75.38,0.0,831.46,14
2025-07-04,Steel Tubing,weight,kg,78.6,0.0,752.86,14
2025-07-05,Steel Tubing,weight,kg,32.38,0.0,720.48,14
2025-07-07,Steel Tubing,weight,kg,68.2,0.0,652.28,14
2025-07-08,Steel Tubing,weight,kg,64.2,1656.95,2245.03,14
2025-07-09,Steel Tubing,weight,kg,53.31,0.0,2191.72,14
2025-07-10,Steel Tubing,weight,kg,60.63,0.0,2131.09,14
2025-07-11,Steel Tubing,weight,kg,80.23,0.0,2050.86,14
2025-07-12,Steel Tubing,weight,kg,33.64,0.0,2017.22,14
2025-07-14,Steel Tubing,weight,kg,56.89,0.0,1960.33,14
2025-07-15,Steel Tubing,weight,kg,69.85,0.0,1890.48,14
2025-07-16,Steel Tubing,weight,kg,51.23,0.0,1839.25,14
2025-07-17,Steel Tubing,weight,kg,93.83,0.0,1745.42,14
2025-07-18,Steel Tubing,weight,kg,84.46,0.0,1660.96,14
2025-07-19,Steel Tubing,weight,kg,34.54,0.0,1626.42,14
2025-07-21,Steel Tubing,weight,kg,61.07,0.0,1565.35,14
2025-07-22,Steel Tubing,weight,kg,70.16,0.0,1495.19,14
2025-07-23,Steel Tubing,weight,kg,76.03,0.0,1419.16,14
2025-07-24,Steel Tubing,weight,kg,75.48,0.0,1343.68,14
2025-07-25,Steel Tubing,weight,kg,70.63,0.0,1273.05,14
2025-07-26,Steel Tubing,weight,kg,35.23,0.0,1237.82,14
2025-07-28,Steel Tubing,weight,kg,67.76,0.0,1170.06,14
2025-07-29,Steel Tubing,weight,kg,58.39,0.0,1111.67,14
2025-07-30,Steel Tubing,weight,kg,64.71,0.0,1046.96,14
2025-07-31,Steel Tubing,weight,kg,76.1,0.0,970.86,14
2025-08-01,Steel Tubing,weight,kg,71.99,0.0,898.87,14
2025-08-02,Steel Tubing,weight,kg,34.46,0.0,864.41,14
2025-08-04,Steel Tubing,weight,kg,62.24,0.0,802.17,14
2025-08-05,Steel Tubing,weight,kg,64.88,0.0,737.29,14
2025-08-06,Steel Tubing,weight,kg,66.98,0.0,670.31,14
2025-08-07,Steel Tubing,weight,kg,64.57,0.0,605.74,14
2025-08-08,Steel Tubing,weight,kg,76.1,1656.95,2186.59,14
2025-08-09,Steel Tubing,weight,kg,38.43,0.0,2148.16,14
2025-08-11,Steel Tubing,weight,kg,69.96,0.0,2078.2,14
2025-08-12,Steel Tubing,weight,kg,63.96,0.0,2014.24,14
2025-08-13,Steel Tubing,weight,kg,67.46,0.0,1946.78,14
2025-08-14,Steel Tubing,weight,kg,77.62,0.0,1869.16,14
2025-08-16,Steel Tubing,weight,kg,34.55,0.0,1834.61,14
2025-08-18,Steel Tubing,weight,kg,85.06,0.0,1749.55,14
2025-08-19,Steel Tubing,weight,kg,81.04,0.0,1668.51,14
2025-08-20,Steel Tubing,weight,kg,61.43,0.0,1607.08,14
2025-08-21,Steel Tubing,weight,kg,69.54,0.0,1537.54,14
2025-08-22,Steel Tubing,weight,kg,90.25,0.0,1447.29,14
2025-08-23,Steel Tubing,weight,kg,32.71,0.0,1414.58,14
2025-08-25,Steel Tubing,weight,kg,51.76,0.0,1362.82,14
2025-08-26,Steel Tubing,weight,kg,80.07,0.0,1282.75,14
2025-08-27,Steel Tubing,weight,kg,84.73,0.0,1198.02,14
2025-08-28,Steel Tubing,weight,kg,67.67,0.0,1130.35,14
2025-08-29,Steel Tubing,weight,kg,74.55,0.0,1055.8,14
2025-08-30,Steel Tubing,weight,kg,33.73,0.0,1022.07,14
2025-09-01,Steel Tubing,weight,kg,98.15,0.0,923.92,14
2025-09-02,Steel Tubing,weight,kg,98.26,0.0,825.66,14
2025-09-03,Steel Tubing,weight,kg,53.93,0.0,771.73,14
2025-09-04,Steel Tubing,weight,kg,92.44,0.0,679.29,14
2025-09-05,Steel Tubing,weight,kg,74.61,0.0,604.68,14
2025-09-06,Steel Tubing,weight,kg,47.68,1656.95,2213.95,14
2025-09-08,Steel Tubing,weight,kg,78.64,0.0,2135.31,14
2025-09-09,Steel Tubing,weight,kg,89.2,0.0,2046.11,14
2025-09-10,Steel Tubing,weight,kg,78.9,0.0,1967.21,14
